Watching for file changes with StatReloader
System check identified some issues:

WARNINGS:
?: (staticfiles.W004) The directory 'C:\Repositorio\gestorcoc\backend\src\core\static' in the STATICFILES_DIRS setting does not exist.

System check identified 1 issue (0 silenced).
[27/Feb/2026 07:23:46] "GET /api/novedades/ HTTP/1.1" 200 8041
[27/Feb/2026 07:23:46] "GET /api/servers/ HTTP/1.1" 200 18748
[27/Feb/2026 07:23:46] "GET /api/systems/ HTTP/1.1" 200 20094
[27/Feb/2026 07:23:47] "GET /api/cameras/ HTTP/1.1" 200 16175
[27/Feb/2026 07:23:47] "GET /api/people/ HTTP/1.1" 200 46595
[27/Feb/2026 07:23:56] "GET /api/cameraman-gear/ HTTP/1.1" 200 823
[27/Feb/2026 07:23:56] "GET /api/novedades/ HTTP/1.1" 200 8041
[27/Feb/2026 07:23:56] "GET /api/servers/ HTTP/1.1" 200 18748
[27/Feb/2026 07:23:56] "GET /api/systems/ HTTP/1.1" 200 20094
[27/Feb/2026 07:23:57] "GET /api/cameras/ HTTP/1.1" 200 16175
[27/Feb/2026 07:24:04] "GET /api/novedades/ HTTP/1.1" 200 8041
[27/Feb/2026 07:24:04] "GET /api/servers/ HTTP/1.1" 200 18748
[27/Feb/2026 07:24:04] "GET /api/systems/ HTTP/1.1" 200 20094
[27/Feb/2026 07:24:04] "GET /api/cameras/ HTTP/1.1" 200 16175
[27/Feb/2026 07:24:04] "GET /api/people/ HTTP/1.1" 200 46595
[27/Feb/2026 07:24:10] "GET /api/cameraman-gear/ HTTP/1.1" 200 823
[27/Feb/2026 07:24:10] "GET /api/units/ HTTP/1.1" 200 368
[27/Feb/2026 07:24:10] "GET /api/systems/ HTTP/1.1" 200 20094
[27/Feb/2026 07:24:29] "OPTIONS /api/systems/ HTTP/1.1" 200 0
[27/Feb/2026 07:24:29] "POST /api/systems/ HTTP/1.1" 201 280
[27/Feb/2026 07:24:29] "GET /api/cameraman-gear/ HTTP/1.1" 200 823
[27/Feb/2026 07:24:29] "GET /api/units/ HTTP/1.1" 200 368
[27/Feb/2026 07:24:29] "GET /api/systems/ HTTP/1.1" 200 20375
[27/Feb/2026 07:24:52] "OPTIONS /api/servers/ HTTP/1.1" 200 0
[27/Feb/2026 07:24:53] "POST /api/servers/ HTTP/1.1" 201 246
[27/Feb/2026 07:24:53] "GET /api/cameraman-gear/ HTTP/1.1" 200 823
[27/Feb/2026 07:24:53] "GET /api/units/ HTTP/1.1" 200 368
[27/Feb/2026 07:24:53] "GET /api/systems/ HTTP/1.1" 200 20621
