"Información del sitio:","EZEIZA"
Id. de licencia:,
Uso de licencias del sitio:,Canales de la cámara: 608/674,Orígenes de TPV: 1/1,Canales LPR6: 3/3

Avigilon Cloud Services:,Error desconocido
"22/12/2025 14:35:02"

Información general:
Nombre de servidor,Versión del servidor:,IP del servidor:,Nombre del modelo:,Nombre del sistema:,Etiqueta de mantenimiento:,Tipo de GPU:,Sistema operativo:,Carga de CPU:,Uso de la memoria:,Memoria disponible del sistema:,Tiempo de actividad:,Servicio LPR:,Versión de LPR:,Servicio de análisis:,Versión de servicio de análisis:,Carga máxima (últimos 3 días):
"EZE01","7.14.20.14","10.116.85.20","PowerEdge R740xd","EZE1","357VMR2","Windows Server 2012 R2","Unknown","10%","5882,2 MB","22477,4 MB","22 días, 0 horas, 53 minutos, 9 segundos","No disponible","Unknown","No disponible","Unknown","No hay datos disponibles"
"EZE10","7.14.20.14","10.116.85.29","PowerEdge R740xd","EZE10","2C8BPY2","Windows Server 2016","Unknown","10%","6975,3 MB","23139,8 MB","18 días, 23 horas, 21 minutos, 7 segundos","No disponible","Unknown","No disponible","Unknown","No hay datos disponibles"
"EZE11","7.14.20.14","10.116.85.54","ProLiant DL380 Gen11","WIN-HPH06I4G0PG","2M2D2T011H","Windows Server 2022","Unknown","0%","5697,7 MB","23089,7 MB","39 días, 21 horas, 39 minutos, 51 segundos","No disponible","Unknown","No disponible","Unknown","No hay datos disponibles"
"EZE12","7.14.20.14","10.116.85.55","ProLiant DL380 Gen11","WIN-PTSNRGP327T","2M2D2T011J","Windows Server 2022","Unknown","0%","1812,1 MB","23938,6 MB","40 días, 21 horas, 46 minutos, 37 segundos","No disponible","Unknown","No disponible","Unknown","No hay datos disponibles"
"EZE2","7.14.20.14","10.116.85.21","PowerEdge R740xd","EZE2","357TMR2","Windows Server 2012 R2","Unknown","11%","5340,8 MB","24276,9 MB","13 días, 0 horas, 46 minutos, 48 segundos","No disponible","Unknown","No disponible","Unknown","No hay datos disponibles"
"EZE3","7.14.20.14","10.116.85.22","PowerEdge R740xd","EZE3","357WMR2","Windows Server 2012 R2","Unknown","8%","5697 MB","23250,8 MB","83 días, 22 horas, 24 minutos, 18 segundos","No disponible","Unknown","No disponible","Unknown","No hay datos disponibles"
"EZE4","7.14.20.14","10.116.85.23","PowerEdge R740xd","EZE4_NEW","2C88PY2","Windows Server 2016","Unknown","16%","8630,3 MB","15896,1 MB","83 días, 22 horas, 29 minutos, 0 segundos","No disponible","Unknown","No disponible","Unknown","No hay datos disponibles"
"EZE5","7.14.20.14","10.116.85.24","PowerEdge R730xd","EZE5","5S9GGK2","Windows Server 2016","Unknown","1%","3769,3 MB","10299,9 MB","28 días, 4 horas, 37 minutos, 37 segundos","No disponible","Unknown","No disponible","Unknown","No hay datos disponibles"
"EZE6","7.14.20.14","10.116.85.25","PowerEdge R740xd","EZE6","2C8CPY2","Windows Server 2016","Unknown","18%","8504,7 MB","19421,8 MB","83 días, 22 horas, 32 minutos, 42 segundos","Disponible","7.4.2.2","No disponible","Unknown","No hay datos disponibles"
"EZE7","7.14.20.14","10.116.85.26","PowerEdge R740xd","EZE7","2C99PY2","Windows Server 2016","Unknown","8%","6001 MB","22183,7 MB","6 días, 22 horas, 55 minutos, 7 segundos","Disponible","7.4.2.2","No disponible","Unknown","No hay datos disponibles"
"EZE8","7.14.20.14","10.116.85.27","PowerEdge R730xd","EZE4_OLD","7B0RGD2","Windows Server 2016","Unknown","7%","3426,1 MB","11400,1 MB","11 días, 0 horas, 44 minutos, 55 segundos","No disponible","Unknown","No disponible","Unknown","No hay datos disponibles"
"EZE9","7.14.20.14","10.116.85.28","PowerEdge R740xd","EZE9","2C9BPY2","Windows Server 2016","Unknown","15%","7718 MB","22389,4 MB","21 días, 0 horas, 7 minutos, 50 segundos","Disponible","7.4.2.2","No disponible","Unknown","No hay datos disponibles"
"FAILOVER","7.14.20.14","10.116.85.40","PowerEdge R740xd","FAILOVER","2C9CPY2","Windows Server 2016","Unknown","1%","10084,4 MB","16607,2 MB","83 días, 22 horas, 30 minutos, 58 segundos","No disponible","Unknown","No disponible","Unknown","No hay datos disponibles"

Uso de licencias del sitio:
Nombre de servidor,Canales de la cámara: ,Canales de análisis: ,Orígenes de TPV: ,Canales LPR: ,Canales LPR6: ,Canales faciales: ,Canales de cámaras FIPS:
"EZE01","56/674","0/0","0/1","0/0","0/3","0/0","0/0"
"EZE10","78/674","0/0","0/1","0/0","0/3","0/0","0/0"
"EZE11","9/674","0/0","0/1","0/0","0/3","0/0","0/0"
"EZE2","78/674","0/0","0/1","0/0","0/3","0/0","0/0"
"EZE3","43/674","0/0","0/1","0/0","0/3","0/0","0/0"
"EZE4","78/674","0/0","1/1","0/0","0/3","0/0","0/0"
"EZE5","26/674","0/0","0/1","0/0","0/3","0/0","0/0"
"EZE6","63/674","0/0","0/1","0/0","3/3","0/0","0/0"
"EZE7","58/674","0/0","0/1","0/0","0/3","0/0","0/0"
"EZE8","49/674","0/0","0/1","0/0","0/3","0/0","0/0"
"EZE9","70/674","0/0","0/1","0/0","0/3","0/0","0/0"

Uso de licencias del servidor:
Nombre de servidor,Canales de la cámara: ,Canales de análisis: ,Orígenes de TPV: ,Canales LPR: ,Canales LPR6: ,Canales faciales: ,Canales de cámaras FIPS:

Servicio de nube:
Nombre de servidor,Sitio Representante.,Estado de punto de conexión web,Estado de internet,Estado de conexión de la nube,Versión de punto de conexión web,Región,Última conexión
"EZE01","En espera","En funcionamiento","No conectado","No conectado","7.14.20.14","","Nunca"
"EZE10","En espera","En funcionamiento","No conectado","No conectado","7.14.20.14","","Nunca"
"EZE11","En espera","En funcionamiento","No conectado","No conectado","7.14.20.14","","Nunca"
"EZE12","En espera","En funcionamiento","No conectado","No conectado","7.14.20.14","","Nunca"
"EZE2","En espera","En funcionamiento","No conectado","No conectado","7.14.20.14","","Nunca"
"EZE3","Activo","En funcionamiento","No conectado","No conectado","7.14.20.14","","Nunca"
"EZE4","En espera","En funcionamiento","No conectado","No conectado","7.14.20.14","","Nunca"
"EZE5","En espera","En funcionamiento","No conectado","No conectado","7.14.20.14","","Nunca"
"EZE6","En espera","En funcionamiento","No conectado","No conectado","7.14.20.14","","Nunca"
"EZE7","En espera","En funcionamiento","No conectado","No conectado","7.14.20.14","","Nunca"
"EZE8","En espera","En funcionamiento","No conectado","No conectado","7.14.20.14","","Nunca"
"EZE9","En espera","En funcionamiento","No conectado","No conectado","7.14.20.14","","Nunca"
"FAILOVER","En espera","En funcionamiento","No conectado","No conectado","7.14.20.14","","Nunca"

Adaptadores de red:
Nombre de servidor,Nombre de adaptador,Estado,Velocidad de vínculo,IP,Entrante,Saliente
"EZE01","NIC3","Bajar","1 Gbps","","0 Mbps","0 Mbps"
"EZE01","NIC1","Subir","1 Gbps","10.116.85.20","174 Mbps","55,2 Mbps"
"EZE01","NIC2","Subir","1 Gbps","10.116.86.20","104,5 Mbps","15,8 Mbps"
"EZE01","NIC4","Bajar","1 Gbps","","0 Mbps","0 Mbps"
"EZE10","NIC4","Bajar","1 Gbps","","0 Mbps","0 Mbps"
"EZE10","NIC3","Bajar","1 Gbps","","0 Mbps","0 Mbps"
"EZE10","NIC1","Subir","10 Gbps","10.116.85.29","186,9 Mbps","15,3 Mbps"
"EZE10","NIC2","Subir","10 Gbps","10.116.86.29","37,1 Mbps","15,3 Mbps"
"EZE10","Ethernet 2","Subir","426 Mbps","169.254.0.2","0 Mbps","0 Mbps"
"EZE11","PCIe Slot 15 Port 2","Subir","1 Gbps","10.116.86.54","17,6 Mbps","16 Mbps"
"EZE11","PCIe Slot 15 Port 3","Bajar","1 Gbps","","0 Mbps","0 Mbps"
"EZE11","PCIe Slot 15 Port 1","Subir","1 Gbps","10.116.85.54","21,2 Mbps","0,4 Mbps"
"EZE11","PCIe Slot 15 Port 4","Bajar","1 Gbps","","0 Mbps","0 Mbps"
"EZE12","PCIe Slot 15 Port 1","Subir","1 Gbps","10.116.85.55","1,8 Mbps","0,9 Mbps"
"EZE12","PCIe Slot 15 Port 4","Bajar","1 Gbps","","0 Mbps","0 Mbps"
"EZE12","PCIe Slot 15 Port 3","Bajar","1 Gbps","","0 Mbps","0 Mbps"
"EZE12","PCIe Slot 15 Port 2","Subir","1 Gbps","10.116.86.55","0,4 Mbps","0,5 Mbps"
"EZE2","NIC2","Subir","10 Gbps","10.116.86.21","15,9 Mbps","18,4 Mbps"
"EZE2","NIC1","Subir","10 Gbps","10.116.85.21","148,5 Mbps","12,2 Mbps"
"EZE2","NIC3","Bajar","1 Gbps","","0 Mbps","0 Mbps"
"EZE2","NIC4","Bajar","1 Gbps","","0 Mbps","0 Mbps"
"EZE3","NIC1","Subir","1 Gbps","10.116.85.22","41,5 Mbps","7,6 Mbps"
"EZE3","NIC4","Bajar","1 Gbps","","0 Mbps","0 Mbps"
"EZE3","NIC3","Bajar","1 Gbps","","0 Mbps","0 Mbps"
"EZE3","NIC2","Subir","1 Gbps","10.116.86.22","60,6 Mbps","3 Mbps"
"EZE4","NIC3","Bajar","1 Gbps","","0 Mbps","0 Mbps"
"EZE4","NIC4","Bajar","1 Gbps","","0 Mbps","0 Mbps"
"EZE4","Ethernet","Subir","426 Mbps","169.254.0.2","0 Mbps","0 Mbps"
"EZE4","NIC1","Subir","1 Gbps","10.116.85.23","15,4 Mbps","12,3 Mbps"
"EZE4","NIC2","Subir","1 Gbps","10.116.86.23","189,4 Mbps","19,6 Mbps"
"EZE5","NIC4","Bajar","1 Gbps","","0 Mbps","0 Mbps"
"EZE5","NIC3","Bajar","1 Gbps","","0 Mbps","0 Mbps"
"EZE5","NIC2","Subir","1 Gbps","10.116.86.24","17,5 Mbps","14,3 Mbps"
"EZE5","NIC1","Subir","1 Gbps","10.116.85.24","34 Mbps","5,3 Mbps"
"EZE6","NIC1","Subir","1 Gbps","10.116.86.25","1,9 Mbps","5 Mbps"
"EZE6","TeamAvigilon","Subir","1 Gbps","10.116.85.25","314,6 Mbps","5,4 Mbps"
"EZE6","Ethernet 2","Subir","426 Mbps","169.254.0.2","0 Mbps","0 Mbps"
"EZE7","NIC3","Bajar","1 Gbps","","0 Mbps","0 Mbps"
"EZE7","NIC4","Bajar","1 Gbps","","0 Mbps","0 Mbps"
"EZE7","NIC1","Subir","10 Gbps","10.116.85.26","232,3 Mbps","4,3 Mbps"
"EZE7","NIC2","Subir","10 Gbps","10.116.86.26","96,4 Mbps","0,5 Mbps"
"EZE7","Ethernet 2","Subir","426 Mbps","169.254.0.2","0 Mbps","0 Mbps"
"EZE8","NIC4","Bajar","1 Gbps","","0 Mbps","0 Mbps"
"EZE8","NIC3","Bajar","1 Gbps","","0 Mbps","0 Mbps"
"EZE8","NIC2","Subir","1 Gbps","10.116.86.27","15,4 Mbps","0,4 Mbps"
"EZE8","NIC1","Subir","1 Gbps","10.116.85.27","95,3 Mbps","5,8 Mbps"
"EZE9","NIC3","Bajar","1 Gbps","","0 Mbps","0 Mbps"
"EZE9","NIC4","Bajar","1 Gbps","","0 Mbps","0 Mbps"
"EZE9","NIC1","Subir","10 Gbps","10.116.85.28","90,1 Mbps","16,4 Mbps"
"EZE9","NIC2","Subir","10 Gbps","10.116.86.28","177,3 Mbps","19,4 Mbps"
"EZE9","Ethernet 2","Subir","426 Mbps","169.254.0.2","0 Mbps","0 Mbps"
"FAILOVER","NIC4","Bajar","1 Gbps","","0 Mbps","0 Mbps"
"FAILOVER","NIC3","Bajar","1 Gbps","","0 Mbps","0 Mbps"
"FAILOVER","NIC1","Subir","1 Gbps","10.116.85.40","1,1 Mbps","2,7 Mbps"
"FAILOVER","NIC2","Bajar","1 Gbps","","0 Mbps","0 Mbps"


Discos duros:
Nombre de servidor,Nombre del disco:,Identificador del producto,Número de serie,Estado,Estado consolidado,Alerta SMART
No disponible

Fuentes de alimentación:
Nombre de servidor,Nombre de la ubicación,Estado,Tipo,Estado del sensor
No disponible

Dispositivos de refrigeración:
Nombre de servidor,Nombre de la ubicación,Estado,Tipo,Configuración del estado
No disponible

Sondas de temperatura:
Nombre de servidor,Nombre de la ubicación,Estado,Tipo,Configuración del estado
No disponible

Matriz de controladores de almacenamiento:
Nombre de servidor,Nombre,Id.,Estado,Estado,Ubicación,URL de gestión,Última actualización
No disponible

Dispositivos:
Nombre de servidor,Nombre del dispositivo,Realizar,Modelo,Ubicación,ID lógico,ID de dispositivo,Cadena de ID de la cámara,Dirección IP,Dirección MAC,Versión del firmware,Versión del firmware obligatoria,Número de serie,Conectado,Visible,Indicadores de error,Estado,Velocidad de bits,Resolución,Calidad,Velocidad de imagen,Cifrado,Retención,Appearance Search:,Reconocimiento facial:
